slovo,emocia,vyskyty
nacistický,-2,166
vojnový,-1,166
komunistický,-1,164
mŕtva,-2,111
svetový,1,97
dôležitý,1,88
nijaký,-1,87
krvavý,-1,72
policajný,-1,58
posledný,-1,51
skutočný,1,43
zavraždený,-3,41
dobre,1,40
úplne,1,40
jednoducho,1,39
spoločenský,1,39
ťažko,-1,35
rýchlo,1,35
silný,1,35
vražedný,-2,34
schopný,1,33
hladový,-1,32
skutočne,1,32
nákladný,-1,31
posledné,-1,31
potrebný,1,31
významný,1,31
známy,1,31
starý,-1,28
jasné,1,27
cudzí,-1,26
správne,1,26
dobrý,1,25
jednoduchý,1,25
nezávislý,1,25
úplný,1,25
ekonomický,1,24
známa,1,24
zabitý,-2,23
morálny,1,23
jasný,1,22
ťažký,-1,21
tradičný,1,21
výrazne,1,21
umierajúci,-2,20
pripravený,1,20
rýchly,1,20
silne,1,20
odsúdený,-1,19
porazený,-1,19
mimoriadne,1,19
nebezpečný,-1,18
nepriateľský,-1,18
stará,-1,18
moderný,1,18
antisemitský,-2,17
otvorený,1,17
mŕtvy,-2,16
hladný,-1,16
slabý,-1,16
nevyhnutný,1,16
presne,1,16
správny,1,16
násilný,-2,15
strašný,-2,15
bohatý,1,15
domáca,1,15
ľahko,1,15
prakticky,1,15
významne,1,15
demokratický,1,14
vhodný,1,14
víťazný,1,14
zvláštny,1,14
násilne,-2,13
obsadený,-1,13
zlý,-1,13
popredný,1,13
spoľahlivý,1,13
vzdelaný,1,13
znať,1,13
nacionalistický,-1,12
propagandistický,-1,12
dostatočne,1,12
otvorene,1,12
presný,1,12
prirodzený,1,12
revolučný,1,12
krutý,-2,11
chorý,-1,11
drvivý,-1,11
kritický,-1,11
obvinený,-1,11
smrtiaci,-1,11
závislý,-1,11
zle,-1,11
dobré,1,11
ochotný,1,11
prominentný,1,11
rýchle,1,11
samostatný,1,11
účinný,1,11
smrteľný,-2,10
dramatický,-1,10
odsúdenie,-1,10
diplomatický,1,10
uväznený,-2,9
chudobný,-1,9
donucovací,-1,9
postihnutý,-1,9
radikálny,-1,9
zajatie,-1,9
mierový,1,9
relatívne,1,9
dočasný,-1,8
nijako,-1,8
obmedzený,-1,8
zložitý,-1,8
absolútny,1,8
bežný,1,8
dobro,1,8
dôležite,1,8
efektívne,1,8
morálne,1,8
podporovaný,1,8
praktický,1,8
prirodzene,1,8
reálny,1,8
rozhodný,1,8
slobodný,1,8
špecifický,1,8
úspešný,1,8
zodpovedný,1,8
bezpečne,2,8
agresívny,-1,7
dramaticky,-1,7
horšiť,-1,7
obvinenie,-1,7
opustený,-1,7
podozrivý,-1,7
zmätený,-1,7
zničený,-1,7
zúfalý,-1,7
intelektuálny,1,7
ľahký,1,7
lojálny,1,7
mimoriadny,1,7
súčasný,1,7
systematický,1,7
vítaný,1,7
živý,1,7
zrejmý,1,7
zvláštne,1,7
vynikajúci,2,7
grandiózny,3,7
strašne,-2,6
teroristický,-2,6
náhlivo,-1,6
trpiaci,-1,6
vymyslený,-1,6
zničenie,-1,6
zraniteľný,-1,6
zúrivý,-1,6
aktuálny,1,6
dominantný,1,6
domov,1,6
logický,1,6
osobitý,1,6
špeciálne,1,6
spontánne,1,6
vplyvný,1,6
výrazný,1,6
využívaný,1,6
fašistický,-2,5
hrôzostrašný,-2,5
zvrátený,-2,5
bezmocný,-1,5
citlivý,-1,5
extrémny,-1,5
nadbytočný,-1,5
nečakaný,-1,5
negatívny,-1,5
neodvratný,-1,5
nesprávny,-1,5
neúmerne,-1,5
nezúčastnený,-1,5
radikálne,-1,5
represívny,-1,5
rozbitý,-1,5
starom,-1,5
uzavretý,-1,5
vážne,-1,5
zlé,-1,5
zranený,-1,5
aktívny,1,5
cenný,1,5
dostatočná,1,5
jasno,1,5
kráľovský,1,5
oddaný,1,5
opodstatnený,1,5
platný,1,5
pozitívny,1,5
priateľský,1,5
romantický,1,5
skromný,1,5
slávny,1,5
splnený,1,5
spravodlivý,1,5
systematicky,1,5
úrodný,1,5
verný,1,5
zlatý,1,5
bezpečný,2,5