bambúch,4,"Zanedbaný zovňajšok, spustnutosť"
barák,4,"Hlúposť, nevedomosť"
barbar,2,pejor.
bastard,2,pejor.
beštia,2,pejor.
bezbožník,4,o zlých
bibas,4,"Hlúposť, nevedomosť"
bludár,4,"Hlúposť, nevedomosť"
bojko,4,"Strach, bázeň"
borsuk,4,"Zanedbaný zovňajšok, spustnutosť"
bosorák,4,"Popudlivosť, hnevlivosť, mrzutosť"
briď,4,"Tvár, oči"
bridoška,4,"Čistota, nečistotnosť"
brigoš,4,"Čistota, nečistotnosť"
bruchopasník,4,"Pažravosť, maškrtnosť; silný žalúdok"
bucko,4,"Tučnosta; vysoký, mohutný vzrast"
bumbaj,4,"Tučnosta; vysoký, mohutný vzrast"
buzerant,2,pejor.
buzerantský,2,pejor.
cápať,2,pejor.
čarbanec,2,pejor.
cecok,2,vulg.
červ,2,pejor.
chamraď,2,pejor.
cháska,2,pejor.
chľast,3,hrub.
chľastanica,3,hrub.
chľastať,2,hrub.
chlipko,4,Opitosť
chlpaj,4,"Vlasy, fúzy, brada"
chňupák,4,"Hlúposť, nevedomosť"
chrapač,2,pejor.
chrapúň,4,"Zanedbaný zovňajšok, spustnutosť"
chriapák,4,"Zanedbaný zovňajšok, spustnutosť"
chruňo,4,"Zanedbaný zovňajšok, spustnutosť"
chuchma,4,"Hlúposť, nevedomosť"
chuchmička,4,"Hlúposť, nevedomosť"
chuj,3,hrub.
chujovina,3,hrub.
chujovský,1,
chumaj,4,"Hlúposť, nevedomosť"
cicina,1,
cicinbrus,1,
cicmák,4,"Zanedbaný zovňajšok, spustnutosť"
cicvor,1,
čilek,4,"Zanedbaný zovňajšok, spustnutosť"
cmuľo,4,"Zanedbaný zovňajšok, spustnutosť"
čudák,4,"Zanedbaný zovňajšok, spustnutosť"
čudo,4,"Zanedbaný zovňajšok, spustnutosť"
culfa,4,o ženách
cundra,2,pejor.
čurak,1,
čurák,3,hrub.
čuridlo,4,"Strach, bázeň"
čurina,1,
darebák,4,"O lenivosti, darmožráctve"
darmožrút,4,"O lenivosti, darmožráctve"
daromnica,4,"O lenivosti, darmožráctve"
daromník,4,"O lenivosti, darmožráctve"
dlháň,4,"Tučnosta; vysoký, mohutný vzrast"
dlhoš,4,"Tučnosta; vysoký, mohutný vzrast"
dochnúť,2,pejor.
dodrbať,1,
dogrcať,2,pejor.
dogrcať sa,2,pejor.
dojebať,2,pejor.
dojebať sa,1,
dojebať si,1,
dojebkať,1,
dojebnúť,1,
dojebnúť sa,1,
domrdať,1,
dopičovať,1,
doprdieť,1,
dosrať,2,pejor.
dosrať sa,2,pejor.
dosrávať sa,1,
došťať,1,
došťať sa,1,
dotrtkať,1,
dotrtkať sa,1,
dotrtkať si,1,
drak,4,"Popudlivosť, hnevlivosť, mrzutosť"
drb,1,
drbačka,1,
drbák,1,
drbať,2,pejor.
drbko,1,
drbnúť,2,pejor.
drbnutý,2,pejor.
drdra,4,"Popudlivosť, hnevlivosť, mrzutosť"
dríšeľ,4,"Strach, bázeň"
drist,4,"Strach, bázeň"
drístať,2,nedok. hrub.
drmľa,4,O starých ženách
drnaj,4,"Zanedbaný zovňajšok, spustnutosť"
drnkať,1,
dromo,4,"Zanedbaný zovňajšok, spustnutosť"
držibabka,4,"Skúposť, lakomstvo, úžerníctvo"
dudok,4,"Zanedbaný zovňajšok, spustnutosť"
dudra,4,"Popudlivosť, hnevlivosť, mrzutosť"
dudroš,4,"Popudlivosť, hnevlivosť, mrzutosť"
durák,4,"Popudlivosť, hnevlivosť, mrzutosť"
fajčiť,1,
falošnica,4,"Falošnosť, ľstvivosť, pokrytectvo, klamstvo"
falošník,4,"Falošnosť, ľstvivosť, pokrytectvo, klamstvo"
farizej,2,pejor.
fas,1,
fasovina,1,
fičfiriť,4,"Zanedbaný zovňajšok, spustnutosť"
fičúr,4,"Zanedbaný zovňajšok, spustnutosť"
figelník,4,Šibalstvo
figliar,4,Šibalstvo
filcka,2,pejor.
fľandra,2,pejor.
frcguma,1,
frčina,1,
frckoš,4,"Zanedbaný zovňajšok, spustnutosť"
frflák,4,"Popudlivosť, hnevlivosť, mrzutosť"
frfloš,4,"Popudlivosť, hnevlivosť, mrzutosť"
frfra,4,"Popudlivosť, hnevlivosť, mrzutosť"
fuňa,1,
fúroš,4,Odev
futrák,4,Šibalstvo
fuzaj,4,"Vlasy, fúzy, brada"
fuzko,4,"Vlasy, fúzy, brada"
gabaj,4,"Skúposť, lakomstvo, úžerníctvo"
galgan,2,pejor.
gangster,2,pejor.
gec,1,
gecovať,1,
geľo,4,"Zanedbaný zovňajšok, spustnutosť"
glemba,4,"Zanedbaný zovňajšok, spustnutosť"
goldoš,4,o zlých
grc,1,
grcanec,2,pejor.
grcanica,2,pejor.
grcanina,1,
grcať,2,nedok. hrub.
grešla,4,O starých ženách
griňavec,4,"Zanedbaný zovňajšok, spustnutosť"
griňo,4,"Zanedbaný zovňajšok, spustnutosť"
grísniak,4,"Zanedbaný zovňajšok, spustnutosť"
grnaj,4,"Zanedbaný zovňajšok, spustnutosť"
grobian,4,"Zvada, urážka, pichľavé reči"
groldo,4,"Zvada, urážka, pichľavé reči"
hajzeľ,1,
haľama,4,"Hlúposť, nevedomosť"
handra,2,pejor.
handrár,2,pejor.
haraburda,4,"Hlúposť, nevedomosť"
háveď,2,pejor.
Hlavaj,4,"Svojhlavosť, nedôvera"
hlucháň,2,pejor.
hlupák,4,"Hlúposť, nevedomosť"
hnusa,4,"Tvár, oči"
holobriadok,4,
holomok,4,o zlých
holopasník,4,o zlých
holopust,4,o chalanoch
honcovať,3,hrub.
honiť,1,
horenos,4,"Pýcha, namyslenosť"
hovädo,2,pren. hrub.
hovädzina,2,pejor.
hovniak,1,
hovno,2,hrub.
hrkľa,4,O starých ženách
hubovať,4,"Zvada, urážka, pichľavé reči"
huncút,4,o zlých
jasietka,4,"Popudlivosť, hnevlivosť, mrzutosť"
jašo,4,"Popudlivosť, hnevlivosť, mrzutosť"
jašter,4,Šibalstvo
jaštor,4,"Zanedbaný zovňajšok, spustnutosť"
jazyčnica,4,"Mnohovravnosť, krkľúnstvo"
jazyčník,4,"Mnohovravnosť, krkľúnstvo"
jeb,1,
jebačka,1,
jebák,1,
jebáreň,1,
jebať,3,hrub.
jebať sa,3,hrub.
jebať si,1,
jebko,1,
jebnúť,3,hrub.
jebnúť sa,1,
jebnúť si,1,
jebnutý,3,hrub.
jebo,1,
jebung,1,
jedoš,4,"Popudlivosť, hnevlivosť, mrzutosť"
ježibaba,4,"Popudlivosť, hnevlivosť, mrzutosť"
kadečina,4,o zlých
kadekto,4,o zlých
kakan,4,"Strach, bázeň"
kamas,4,"Zanedbaný zovňajšok, spustnutosť"
kefovačka,3,hrub.
kefovať,2,pren. hrub.
kľago,4,"Zanedbaný zovňajšok, spustnutosť"
klampa,4,o ženách
klapačka,4,"Mnohovravnosť, krkľúnstvo"
klikľúň,4,"Mnohovravnosť, krkľúnstvo"
kobza,4,O starých ženách
kokot,3,hrub.
kokotina,3,hrub.
kokotský,1,
kolodej,4,"Zanedbaný zovňajšok, spustnutosť"
kolohnát,4,"Zanedbaný zovňajšok, spustnutosť"
kolomažník,4,Odev
komondor,4,"Zanedbaný zovňajšok, spustnutosť"
korheľ,4,"Zanedbaný zovňajšok, spustnutosť"
korhelica,4,Opitosť
korhelisko,4,Opitosť
koridoň,4,"Zanedbaný zovňajšok, spustnutosť"
korpáň,4,"Zanedbaný zovňajšok, spustnutosť"
kostrák,4,"Zanedbaný zovňajšok, spustnutosť"
koťoh,4,"Pažravosť, maškrtnosť; silný žalúdok"
kotón,1,
kotrbáň,4,"Svojhlavosť, nedôvera"
kraksňa,3,hrub.
krámy,1,
krpčiar,2,pejor.
krpčiarstvo,2,pejor.
krpec,2,pejor.
"krutáň,",4,"Svojhlavosť, nedôvera"
krutohlavec,4,"Svojhlavosť, nedôvera"
kujebák,1,
kujon,4,o zlých
kulifaj,4,"Zanedbaný zovňajšok, spustnutosť"
kurevník,3,hrub.
kurevský,3,hrub.
kurevstvo,1,
kurva,3,hrub.
kurváč,3,hrub.
kurviť,1,
kurviť sa,3,hrub.
kuryplach,4,"Strach, bázeň"
kvargľa,2,pejor.
lagan,4,o zlých
lajdák,4,"Zanedbaný zovňajšok, spustnutosť"
lajno,2,pren. hrub.
lakomčík,4,"Skúposť, lakomstvo, úžerníctvo"
lalok,4,Opitosť
ľapduľa,4,"Mnohovravnosť, krkľúnstvo"
lecišina,4,o ženách
lokaj,2,pejor.
lušta,4,o ženách
lušťák,4,"Zanedbaný zovňajšok, spustnutosť"
mameluk,2,pejor.
mamľas,4,"Hlúposť, nevedomosť"
mamuna,4,"Tučnosta; vysoký, mohutný vzrast"
maškara,4,"Tvár, oči"
maškariak,4,"Tvár, oči"
matróna,2,"expr.,obyč. pejor"
mech,4,"Pýcha, namyslenosť"
medveď,4,"Zanedbaný zovňajšok, spustnutosť"
melihuba,4,"Mnohovravnosť, krkľúnstvo"
mešter,4,"Mnohovravnosť, krkľúnstvo"
meštiak,2,pejor.
mledzivo,4,"Popudlivosť, hnevlivosť, mrzutosť"
moriak,4,"Zanedbaný zovňajšok, spustnutosť"
mosúr,4,"Popudlivosť, hnevlivosť, mrzutosť"
motoch,4,"Hlúposť, nevedomosť"
motovidlo,4,"Hlúposť, nevedomosť"
mrd,1,
mrdačka,1,
mrdať,1,
mrdnúť,1,
mrdofúz,4,"Vlasy, fúzy, brada"
mrdúc,4,"Zanedbaný zovňajšok, spustnutosť"
mrdús,4,"Zanedbaný zovňajšok, spustnutosť"
mriha,4,o ženách
mrňa,1,
mršina,4,o zlých
mrzkáň,4,"Tvár, oči"
mumaj,4,"Hlúposť, nevedomosť"
mumák,4,"Hlúposť, nevedomosť"
murckoš,4,"Zanedbaný zovňajšok, spustnutosť"
nadrbanec,1,
nadrbať,1,
nadrštený,4,"Popudlivosť, hnevlivosť, mrzutosť"
nadutý,4,"Pýcha, namyslenosť"
nagrcať,1,
najebanec,1,
najebať,1,
najebať sa,1,
najebávať,1,
najebávať sa,1,
najebnúť,1,
namrdať,1,
napajedený,4,"Popudlivosť, hnevlivosť, mrzutosť"
napičovať,1,
naprdieť,1,
nasrať,2,dok. hrub.
nasrať sa,1,
našťať,1,
natrtkať,1,
nechuta,4,"Popudlivosť, hnevlivosť, mrzutosť"
nedomrdok,1,
nehanblivec,4,o zlých
nekázanec,4,o zlých
nekázaný,4,o zlých
nemotora,4,"Zanedbaný zovňajšok, spustnutosť"
nemrdal,4,"Popudlivosť, hnevlivosť, mrzutosť"
nenadžganec,4,"Pažravosť, maškrtnosť; silný žalúdok"
nenásytník,4,"Pažravosť, maškrtnosť; silný žalúdok"
nenažranec,4,"Pažravosť, maškrtnosť; silný žalúdok"
neogabanec,4,Odev
neohrabanec,4,"Zanedbaný zovňajšok, spustnutosť"
neokresanec,4,"Zanedbaný zovňajšok, spustnutosť"
nepodarec,4,"Tvár, oči"
nesyta,4,"Pažravosť, maškrtnosť; silný žalúdok"
neznajboh,4,o zlých
ničiga,4,o zlých
objebať,1,
objebávač,1,
objebávať,1,
obor,4,"Tučnosta; vysoký, mohutný vzrast"
obšivkár,4,Odev
obsrať,1,
obšťať,1,
obžero,4,"Pažravosť, maškrtnosť; silný žalúdok"
ochľasta,4,Opitosť
odjebať,1,
odjebávač,1,
odjebnúť,1,
odjebnúť sa,1,
odjebok,1,
odrb,1,
odrbať,1,
odrifúz,4,"Vlasy, fúzy, brada"
odrzgáň,4,"Zanedbaný zovňajšok, spustnutosť"
ogrcať,1,
ogrcať sa,1,
ohava,4,o zlých
ohavník,4,o zlých
ohľo,4,"Zanedbaný zovňajšok, spustnutosť"
ojeb,1,
ojebať,1,
ojebať sa,1,
ojebávač,1,
ojebávať sa,1,
okáľ,4,"Zanedbaný zovňajšok, spustnutosť"
omdrdať sa,1,
omrdať,1,
opacha,4,"Tučnosta; vysoký, mohutný vzrast"
oplan,4,o zlých
ošemeta,4,"Falošnosť, ľstvivosť, pokrytectvo, klamstvo"
ošemetník,4,"Falošnosť, ľstvivosť, pokrytectvo, klamstvo"
ošklbanec,4,Odev
ošklbaný,2,pejor.
oškrda,4,"Zanedbaný zovňajšok, spustnutosť"
osrať,1,
osrať sa,1,
ošťan,4,"Strach, bázeň"
oštinoha,4,"Strach, bázeň"
ošva,4,Odev
otrapa,4,"Zanedbaný zovňajšok, spustnutosť"
otrhátor,4,Odev
otrokár,2,pejor.
ozembuch,4,"Zanedbaný zovňajšok, spustnutosť"
ožran,4,Opitosť
pačmaga,4,o zlých
pánbožťok,4,"Falošnosť, ľstvivosť, pokrytectvo, klamstvo"
papľuch,4,o chalanoch
papľuh,4,o zlých
papuľa,2,pren. hrub.
papuliak,4,"Mnohovravnosť, krkľúnstvo"
papuľník,4,"Mnohovravnosť, krkľúnstvo"
papuľovať,4,"Zvada, urážka, pichľavé reči"
pasák,2,pejor.
paskuda,4,o zlých
patrikár,4,"Falošnosť, ľstvivosť, pokrytectvo, klamstvo"
pažravec,4,"Pažravosť, maškrtnosť; silný žalúdok"
pecivál,4,"O lenivosti, darmožráctve"
pecúch,4,"O lenivosti, darmožráctve"
pekelník,4,o zlých
pelech,2,pejor.
perepäť,4,o zlých
piča,1,
pičiak,1,
pička,1,
pičovanie,1,
pičovať,1,
pičovina,1,
pičovský,1,
pičung,1,
piksľa,2,pren. hrub.
písačka,2,pejor.
pizda,1,
planec,4,o zlých
planietnik,4,o zlých
planiga,4,o zlých
plánik,4,o zlých
planina,4,o zlých
plátenník,4,"Zvada, urážka, pichľavé reči"
plátok,2,pejor.
plecháč,2,pejor.
pletkár,4,Šibalstvo
pletniak,4,"Hlúposť, nevedomosť"
pliaga,4,o zlých
pľuha,4,o ženách
pľuhavec,4,"Čistota, nečistotnosť"
pľuhavý,2,pejor.
pobehaj,4,o zlých
pobožničkár,4,"Falošnosť, ľstvivosť, pokrytectvo, klamstvo"
pobožnostkár,4,"Falošnosť, ľstvivosť, pokrytectvo, klamstvo"
pochabec,4,"Hlúposť, nevedomosť"
pochábeľ,4,Šibalstvo
podjebať,1,
podjebnúť,1,
podjebok,1,
podkladať sa,2,pejor.
podkušiteľ,4,"Falošnosť, ľstvivosť, pokrytectvo, klamstvo"
podliak,4,o zlých
podlina,4,o zlých
podojebávať,1,
podpičník,1,
podrb,1,
podrbať,1,
pogrcať,1,
pojeb,1,
pojebaný,1,
pojebať,1,
pokrytec,4,"Falošnosť, ľstvivosť, pokrytectvo, klamstvo"
pokuta,4,o zlých
poľagan,4,"O lenivosti, darmožráctve"
polpalček,4,"Zanedbaný zovňajšok, spustnutosť"
pomrdaný,1,
pomrdať,1,
ponadrbávať,1,
ponajebávať sa,1,
poobjebávať,1,
poodmrdávať,1,
poogrciavať,1,
pooštiavať,1,
popanštenec,4,"Pýcha, namyslenosť"
popelváľ,4,"O lenivosti, darmožráctve"
popelvár,4,"O lenivosti, darmožráctve"
popičovať,1,
popodjebávať,1,
popredrbávať,1,
poprejebávať,1,
popremrdávať,1,
poprijebávať,1,
porozdrbávať,1,
porozjebávať,1,
porozmrdávať,1,
posierať sa,1,
poškrabpanvička,4,"Pažravosť, maškrtnosť; silný žalúdok"
pošmák,4,"Zanedbaný zovňajšok, spustnutosť"
posran,1,
posrať,2,dok. hrub.
posrať sa,1,
posrávať,1,
pošťať,2,dok. hrub.
potkan,4,"Zanedbaný zovňajšok, spustnutosť"
potlkeň,4,o zlých
potmehúd,4,"Falošnosť, ľstvivosť, pokrytectvo, klamstvo"
potrimiska,4,"Pažravosť, maškrtnosť; silný žalúdok"
potrtkaný,1,
potrtkať,1,
potvora,4,o zlých
poujebávať,1,
povjebávať,1,
povydrbávať,1,
povyjebávať,1,
povymrdávať,1,
pozadrbávať,1,
pozajebávať,1,
pozasierať,1,
pozjebávať,1,
prašina,2,hrub.
prašivec,2,hrub.
prašivý,2,pejor.
prča,1,
prcguma,1,
prd,2,hrub.
prdel,1,
prdieť,1,
prdimúka,4,"Strach, bázeň"
prdko,4,"Strach, bázeň"
prdnúť,2,dok. hrub.
prdúskať sa,2,nedok. hrub.
predpotopný,2,pejor.
predrbať,1,
predrbnúť,1,
prejebať,1,
prejebať sa,1,
prejebnúť,1,
premrdať,1,
premrdnúť,1,
prepičovať,1,
prepiduša,4,Opitosť
preslopať,2,dok. hrub.
presrať,1,
prešťať,1,
pretrtkať,1,
pretvárenec,4,"Falošnosť, ľstvivosť, pokrytectvo, klamstvo"
pridrbať,1,
pridrbnúť,1,
priepastník,4,o zlých
prietrky,1,
priezdušník,4,"Skúposť, lakomstvo, úžerníctvo"
prijebať,1,
prijebať sa,1,
prijebnúť,1,
primadona,2,pejor.
primeros,1,
primitív,2,pejor.
primitívny,2,pejor.
primrdnúť sa,1,
prisluhovať,2,pejor.
pritrtkať,1,
priživiť sa,2,pejor.
provinčný,2,pejor.
pšochevár,4,"Zanedbaný zovňajšok, spustnutosť"
psohlavec,4,Šibalstvo
puča,1,
pudivietor,4,"Popudlivosť, hnevlivosť, mrzutosť"
pyskáč,4,"Zvada, urážka, pichľavé reči"
pyskačka,4,"Zvada, urážka, pichľavé reči"
radorečnica,4,"Mnohovravnosť, krkľúnstvo"
radorečník,4,"Mnohovravnosť, krkľúnstvo"
randa,4,Odev
randoš,4,Odev
rapčalo,4,"Mnohovravnosť, krkľúnstvo"
rapotačka,4,"Mnohovravnosť, krkľúnstvo"
rašma,4,o ženách
rašmák,4,Odev
riť,2,hrub.
rohačka,4,"Pýcha, namyslenosť"
roňo,4,"Zanedbaný zovňajšok, spustnutosť"
ropucha,2,pren. hrub.
rozavúst,4,"Zvada, urážka, pichľavé reči"
rozdrapenec,4,"Zvada, urážka, pichľavé reči"
rozdrbať,1,
rozdrbnúť,1,
rozgajdanec,4,Odev
rozjebať,1,
rozjebať sa,1,
rozjebnúť,1,
rozjebnúť sa,1,
rozmrdať,1,
rozosrať sa,1,
rozprdieť sa,1,
rozpustilec,4,o zlých
roztrtkať,1,
sadlakurka,4,"Hlúposť, nevedomosť"
šafáriť,2,pejor.
sajha,4,o ženách
šalabachter,4,"Hlúposť, nevedomosť"
šalabacter,4,"Hlúposť, nevedomosť"
šaľuga,4,"Hlúposť, nevedomosť"
saňa,4,"Popudlivosť, hnevlivosť, mrzutosť"
šarbal,4,"Zanedbaný zovňajšok, spustnutosť"
šarlatán,2,pejor.
šašo,4,Šibalstvo
sebevoľník,4,o zlých
šemenda,4,"Falošnosť, ľstvivosť, pokrytectvo, klamstvo"
šestákový,2,pejor.
šibanec,4,o zlých
šibenec,4,Šibalstvo
škatuľa,2,"expr.,obyč. pejor"
škero,4,"Zanedbaný zovňajšok, spustnutosť"
šklban,4,Odev
skokotený,1,
škrabňa,4,O starých ženách
škrapúň,4,"Zanedbaný zovňajšok, spustnutosť"
škrata,4,"Tvár, oči"
skrieň,4,"Zanedbaný zovňajšok, spustnutosť"
škrvačník,4,"Skúposť, lakomstvo, úžerníctvo"
skučko,4,"Skúposť, lakomstvo, úžerníctvo"
skuhroš,4,"Skúposť, lakomstvo, úžerníctvo"
škulibander,4,"Zanedbaný zovňajšok, spustnutosť"
škuliperda,4,"Zanedbaný zovňajšok, spustnutosť"
skupáň,4,"Skúposť, lakomstvo, úžerníctvo"
skurvený,1,
skurviť,1,
skurviť sa,1,
skydoň,4,"Zanedbaný zovňajšok, spustnutosť"
skývražník,4,"Skúposť, lakomstvo, úžerníctvo"
slabúch,4,"Strach, bázeň"
šľampa,4,o ženách
slepáň,4,Zmysly
slezák,4,"Zanedbaný zovňajšok, spustnutosť"
slimák,4,"Zanedbaný zovňajšok, spustnutosť"
slopať,2,hrub.
šmajták,4,"Zanedbaný zovňajšok, spustnutosť"
somár,4,"Hlúposť, nevedomosť"
sopľavý,2,pejor.
sopliak,4,o chalanoch
špalek,4,"Hlúposť, nevedomosť"
špata,4,"Tvár, oči"
špekulant,2,pejor.
špiniť,2,pejor.
sprosták,4,"Hlúposť, nevedomosť"
sprotina,4,"Hlúposť, nevedomosť"
sráč,1,
sračka,1,
sraľo,1,
sranec,1,
sranina,1,
srať,2,nedok. hrub.
srať sa,1,
srdoš,4,"Popudlivosť, hnevlivosť, mrzutosť"
srdúch,4,"Popudlivosť, hnevlivosť, mrzutosť"
šťanec,1,
šťanka,1,
stariga,4,O starých ženách
starigáň,2,pejor.
šťať,2,nedok. hrub.
štebota,4,"Mnohovravnosť, krkľúnstvo"
štetka,2,hrub.
štiny,1,
stonoha,4,Šibalstvo
strachopúd,4,"Strach, bázeň"
straka,4,"Mnohovravnosť, krkľúnstvo"
strapák,4,"Zanedbaný zovňajšok, spustnutosť"
strapáň,4,"Vlasy, fúzy, brada"
straško,4,"Strach, bázeň"
štrbák,4,Zuby
strebať,2,pejor.
striga,4,"Popudlivosť, hnevlivosť, mrzutosť"
strigôň,4,"Popudlivosť, hnevlivosť, mrzutosť"
suka,4,o ženách
šumichrast,4,"Strach, bázeň"
šust,4,"Zanedbaný zovňajšok, spustnutosť"
švandra,4,o ženách
svätúšik,4,"Falošnosť, ľstvivosť, pokrytectvo, klamstvo"
svätuškár,4,"Falošnosť, ľstvivosť, pokrytectvo, klamstvo"
svetár,4,o zlých
svévolník,4,o zlých
švíbalka,4,"Popudlivosť, hnevlivosť, mrzutosť"
sviňa,2,pren. hrub.
svindžúr,4,o zlých
sviniar,2,hrub.
sviniť,2,nedok. hrub.
sviňúch,4,o zlých
svojhlavec,4,"Svojhlavosť, nedôvera"
svrček,4,"Zanedbaný zovňajšok, spustnutosť"
takzvaný,2,pejor.
ťalagra,4,"Zanedbaný zovňajšok, spustnutosť"
talhaj,4,o zlých
ťapa,2,pejor.
taranda,4,"Hlúposť, nevedomosť"
ťarbák,4,"Zanedbaný zovňajšok, spustnutosť"
teliar,4,"Hlúposť, nevedomosť"
telpis,4,"Hlúposť, nevedomosť"
tlčibabka,4,"Skúposť, lakomstvo, úžerníctvo"
traktát,2,pejor.
trhan,4,Odev
trkvas,4,"Hlúposť, nevedomosť"
trokša,4,o ženách
trpák,4,"Zanedbaný zovňajšok, spustnutosť"
trt,1,
trtkať,1,
trtnúť,1,
trubiroh,4,"Hlúposť, nevedomosť"
trulant,4,"Hlúposť, nevedomosť"
truľo,4,"Hlúposť, nevedomosť"
trupák,4,"Hlúposť, nevedomosť"
trupavec,4,"Hlúposť, nevedomosť"
tunelár,2,pejor.
tunelovať,2,pejor.
ťuťmák,4,"Hlúposť, nevedomosť"
tvrdopsyk,4,"Svojhlavosť, nedôvera"
udrbať,1,
udrbnúť,1,
ujebať,1,
ujebať si,1,
ujebávať sa,1,
ujebnúť,1,
úlisník,4,"Falošnosť, ľstvivosť, pokrytectvo, klamstvo"
umdrdnúť,1,
umrdať,1,
uprdnúť si,1,
ušiak,4,"Hlúposť, nevedomosť"
usierať si,1,
usrať si,1,
utrtkať,1,
vábec,4,"Falošnosť, ľstvivosť, pokrytectvo, klamstvo"
vetroplach,4,"Strach, bázeň"
vjebať,1,
vjebávať,1,
vjebnúť,1,
vjebnúť sa,1,
vozdra,1,
vozgrivec,4,"Čistota, nečistotnosť"
vŕzgať,2,pejor.
všivavý,2,pejor.
vybľakovať,2,pejor.
vydrnkať,1,
vyfajčiť,1,
vygrcať,1,
vygrcať sa,1,
výgrcok,1,
vyhoniť,1,
vyjebanec,1,
vyjebaný,1,
vyjebať,1,
vyjebať sa,1,
vyjebnúť,1,
výjebok,1,
vykokotený,1,
vymrdať,1,
vymrdnúť,1,
vypičený,1,
vypičiť,1,
vypičovať,1,
vyprdieť,1,
vyprdnúť sa,1,
vysraný,1,
vysrať,1,
vysrať sa,2,dok. hrub.
vyšťať,1,
vyšťať sa,1,
vyvrheľ,4,o zlých
xantipa,4,"Popudlivosť, hnevlivosť, mrzutosť"
zadrhnúť sa,2,pren. hrub.
zahovnený,1,
zajebákovaný,1,
zajebanec,1,
zajebať,1,
zajebať si,1,
zajebávať,1,
zajebávať sa,1,
zajebnúť,1,
zamrdať,1,
zantúch,4,"Svojhlavosť, nedôvera"
zasran,1,
zasrať,1,
zasrať sa,1,
zašťan,4,"Strach, bázeň"
zasviniť,2,dok. hrub.
zatrtkať,1,
zatvrdilec,4,"Svojhlavosť, nedôvera"
zázrivec,4,"Popudlivosť, hnevlivosť, mrzutosť"
zberba,4,o zlých
zdochliak,4,o zlých
zdochlina,4,o zlých
zduteľ,4,"Popudlivosť, hnevlivosť, mrzutosť"
zgegnúť,2,dok. hrub.
žgrliak,4,"Skúposť, lakomstvo, úžerníctvo"
žgrľo,4,"Skúposť, lakomstvo, úžerníctvo"
žgrľoš,4,"Skúposť, lakomstvo, úžerníctvo"
zhovädiť,2,dok. hrub.
zjeb,1,
zjebať,1,
zjebať sa,1,
zjebnúť,1,
zleza,4,o zlých
zlezeň,4,o zlých
zlostnica,4,"Popudlivosť, hnevlivosť, mrzutosť"
zlostník,4,"Popudlivosť, hnevlivosť, mrzutosť"
zmrd,1,
zmrdať,1,
zmrzliak,4,"Zanedbaný zovňajšok, spustnutosť"
žobrač,2,pejor.
žobrota,2,pejor.
zogan,4,"Zanedbaný zovňajšok, spustnutosť"
žogan,4,"Zanedbaný zovňajšok, spustnutosť"
žoldnier,2,pejor.
žráč,4,"Pažravosť, maškrtnosť; silný žalúdok"
žrút,4,"Pažravosť, maškrtnosť; silný žalúdok"
zruta,4,"Tučnosta; vysoký, mohutný vzrast"
zubačka,4,"Zvada, urážka, pichľavé reči"
zvetrelec,4,"Hlúposť, nevedomosť"
